calories,protein,fat,sodium,fiber,sugars,potassium,vitamins,weight,cups,cold
110,1,1,180,0.0,13,65.0,25,1.0,1.0,1.0
50,1,0,0,0.0,0,15.0,0,0.5,1.0,1.0
110,6,2,290,2.0,1,105.0,25,1.0,1.25,1.0
70,4,1,130,10.0,6,280.0,25,1.0,0.33,1.0
50,2,0,0,1.0,0,50.0,0,0.5,1.0,1.0
110,1,1,180,0.0,13,55.0,25,1.0,1.0,1.0
120,3,2,160,5.0,10,200.0,25,1.25,0.67,1.0
110,1,0,200,1.0,11,25.0,25,1.0,0.75,1.0
90,3,0,210,5.0,5,190.0,25,1.0,0.67,1.0
110,2,0,220,1.0,3,30.0,25,1.0,1.0,1.0
110,2,0,290,0.0,3,35.0,25,1.0,1.0,1.0
90,2,0,15,3.0,5,90.0,25,1.0,1.0,1.0
100,3,1,230,3.0,3,115.0,25,1.0,0.67,1.0
110,1,0,90,1.0,12,20.0,25,1.0,1.0,1.0
120,1,2,220,1.0,11,45.0,25,1.0,1.0,1.0
110,3,1,250,1.5,10,90.0,25,1.0,0.75,1.0
90,2,1,200,4.0,6,125.0,25,1.0,0.67,1.0
100,3,1,200,3.0,3,110.0,25,1.0,1.0,1.0
100,3,0,0,3.0,7,100.0,25,1.0,0.8,1.0
160,3,2,150,3.0,13,160.0,25,1.5,0.67,1.0
120,1,3,210,0.0,9,45.0,25,1.0,0.75,1.0
100,2,0,290,1.0,2,35.0,25,1.0,1.0,1.0
70,4,1,260,9.0,5,320.0,25,1.0,0.33,1.0
150,4,3,95,3.0,11,170.0,25,1.0,1.0,1.0
110,3,3,140,4.0,7,160.0,25,1.0,0.5,1.0
110,2,1,70,1.0,15,40.0,25,1.0,0.75,1.0
110,2,0,125,1.0,14,30.0,25,1.0,1.0,1.0
120,3,1,210,5.0,12,240.0,25,1.33,0.75,1.0
110,2,1,125,1.0,13,30.0,25,1.0,1.0,1.0
110,2,2,180,1.5,10,70.0,25,1.0,0.75,1.0
90,2,0,0,2.0,6,110.0,25,1.0,0.5,1.0
110,3,0,170,3.0,3,90.0,25,1.0,0.25,1.0
100,4,1,135,2.0,6,110.0,25,1.0,0.5,1.0
100,3,2,140,2.5,8,140.0,25,1.0,0.5,1.0
110,6,0,230,1.0,3,55.0,25,1.0,1.0,1.0
130,3,2,170,1.5,10,120.0,25,1.25,0.5,1.0
110,2,1,250,0.0,3,60.0,25,1.0,0.75,1.0
110,2,1,180,0.0,12,55.0,25,1.0,1.0,1.0
110,2,2,200,1.0,8,90.0,25,1.0,0.75,1.0
110,2,1,170,1.0,6,60.0,100,1.0,1.0,1.0
140,3,1,170,2.0,9,95.0,100,1.3,0.75,1.0
110,1,0,180,0.0,11,35.0,25,1.0,1.33,1.0
120,3,1,200,6.0,14,260.0,25,1.33,0.67,1.0
110,1,0,240,0.0,2,30.0,25,1.0,1.13,1.0
100,3,0,80,1.0,0,90.0,0,1.0,1.0,0.0
110,1,1,280,0.0,9,45.0,25,1.0,0.75,1.0
90,3,0,0,4.0,0,140.0,0,1.0,0.67,1.0
100,2,1,220,2.0,6,90.0,25,1.0,1.0,1.0
140,3,2,220,3.0,7,130.0,25,1.33,0.67,1.0
120,3,3,75,3.0,4,100.0,25,1.0,0.33,1.0
130,3,2,210,2.0,8,100.0,25,1.33,0.75,1.0
100,4,1,0,0.0,3,95.0,25,1.0,1.0,0.0
100,2,1,140,2.0,10,120.0,25,1.0,0.75,1.0
110,1,1,140,0.0,12,25.0,25,1.0,1.0,1.0
110,2,0,280,0.0,3,25.0,25,1.0,1.0,1.0
110,2,1,260,0.0,3,40.0,25,1.0,1.5,1.0
